latitude,longitude,depth,mag
-21.8974,-68.41,132.86,4.1
-18.6601,-69.2132,135.07,4.9
-21.2038,-68.8938,123.57,4.2
-26.964,-63.3857,572.44,6
-28.632,-71.5959,17.84,4.5
-21.8862,-67.4844,226,4
-30.6612,-71.7101,27.92,4.4
-27.859,-71.3265,18.43,4.3
-26.347,-70.5295,58.58,3.8
-23.9878,-67.0534,220.33,4.6
-21.2078,-70.0833,30.43,3.9
-22.0164,-68.7234,122.44,4.1
-21.1553,-68.8773,104.12,4
-30.025,-71.331,45.31,4.3
-21.8021,-68.481,119.1,4.5
-15.4729,-72.4428,128.7,4.6
-20.2403,-69.067,95.46,4.7
-24.136,-67.0299,164.42,4.2
-14.7276,-73.5381,88.88,4.2
-23.7511,-67.0142,235.01,4
-23.8901,-66.872,219.59,4.2
-14.5096,-72.3758,103.65,4.9
-24.1789,-67.0399,154.85,5
-26.887,-65.3713,36.89,5
-22.3875,-66.0943,261.88,4.3
-28.165,-69.527,105.09,4.4
-23.1408,-66.8587,219.29,4.1
-24.2969,-67.0574,161.68,4.8
-20.9403,-68.9011,98.47,4
-24.04,-67.0325,219.82,4.5
-24.1542,-67.3927,197.23,4.8
-20.6938,-68.9532,100.74,4.1
-33.7601,-70.2859,112.83,4.2
-29.0156,-69.7738,109.38,4.3
-31.8337,-71.3519,50.49,4.2
-22.3079,-68.6264,111.88,4.4
-15.6417,-71.6791,133.55,4.8
-23.9833,-67.0896,221.52,4.5
-32.077,-70.3816,110.83,4.8
-22.3263,-68.9685,116.21,4.3
-24.3238,-69.0175,123.34,4.3
-24.1022,-66.9877,182.45,4.3
-24.2324,-67.2308,178.27,4.4
-17.3802,-69.6004,151.34,4.4
-29.7279,-71.3318,46.49,4.3
-24.1709,-66.9132,205.24,4.3
-27.3991,-67.718,185.21,4.2
-22.5546,-69.1526,88.09,4.2
-22.837,-66.2845,232.83,4.6
-18.5042,-70.576,38,6
-20.9138,-70.7619,10,5.3
-15.8194,-73.0321,71.4,4.5
-23.1554,-71.9202,10,4.2
-15.8821,-72.1949,114.69,4.2
-34.724,-70.7925,101.76,4
-24.2424,-67.1025,169.92,4.4
-34.7834,-71.8679,47.39,4.6
-31.4626,-72.1489,10,4
-24.2226,-67.4281,210.73,4.2
-32.7444,-71.8162,23.32,4.4
-32.741,-71.7857,21.41,4.4
-21.3616,-68.7307,114.92,4.8
-27.2965,-71.0547,35,4.5
-21.9768,-70.3737,33.63,4.1
-28.2188,-71.2052,39.83,4.2
-20.3363,-70.399,35.81,4.2
-23.9644,-66.7207,193.61,4.3
-22.1943,-67.3787,198.69,4.3
-23.022,-66.7313,236.22,4.5
-24.2385,-67.0406,164.97,4.3
-31.3042,-68.656,106.34,4.4
-20.4923,-67.3956,193.56,4.6
-28.5135,-71.4562,22.88,4.7
-21.7183,-68.6143,136.55,4.3
-20.1969,-70.7115,18.13,4.6
-20.3123,-70.7662,10,4.1
-31.7989,-71.4861,35,4.7
-31.4849,-68.764,112.71,4.6
-32.7003,-70.0996,103.75,5
-17.2274,-65.585,46.68,4.2
-27.7513,-70.63,63.82,4.2
-31.3864,-81.0356,10,4.2
-18.1792,-69.5103,128.92,4
-29.8339,-71.2929,55.94,4.3
-33.6399,-66.8723,10,5.7
-21.8653,-68.516,98.94,3.9
-22.1143,-67.5546,194.67,4.1
-24.0082,-67.1358,212.02,4.1
-34.0029,-72.2462,13.68,5.2
-17.1047,-72.3473,47.29,4.3
-24.1711,-66.9858,218.23,4.5
-18.8031,-69.4933,135.83,4.3
-19.8833,-70.9444,15.55,4.2
-15.2885,-70.4053,202.83,5.1
-31.8112,-71.5378,56.67,4.3
-21.3564,-67.27,181.65,4.3
-14.8331,-72.6093,94.45,4.2
-27.7317,-71.2941,22.47,4.1
-28.8739,-67.3629,158.85,4.2
-28.3045,-70.5367,86.26,4.7
-26.137,-71.2257,17.3,4
-19.3406,-69.4427,94.67,4.1
-20.4573,-68.9243,99.31,4.3
-22.8914,-66.1326,212.44,4.8
-21.1815,-68.5669,108.36,4.2
-31.8166,-71.5483,35,4
-31.8362,-71.3753,53,6.1
-21.4087,-70.4875,31.02,5.1
-25.8654,-70.7023,50.64,4.2
-31.5726,-69.6614,112.22,4
